conversation_id_str,created_at,favorite_count,label_manual,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1879114539721184000,Tue Jan 14 10:33:13 +0000 2025,1580,Positif,Ketua Dewan Perwakilan Daerah (DPD) RI Sultan Bachtiar Najamudin mengusulkan agar rakyat memberi sumbangan uang untuk program Makan Bergizi Gratis (MBG). . Menurutnya cara itu dapat membantu menyukseskan program pemerintahan Presiden RI Prabowo Subianto dan Wakil Presiden Gibran https://t.co/4uueMlT4Ka,1879114539721184000,https://pbs.twimg.com/ext_tw_video_thumb/1879114056113807360/pu/img/28XxDt2dWwZ25mZN.jpg,,in,Indonesia,1691,3918,554,https://x.com/pikiran_rakyat/status/1879114539721183666,58880688,pikiran_rakyat
1879699568046244096,Thu Jan 16 01:17:54 +0000 2025,242,Positif,Menu Makan Bergizi Gratis yang diinginkan anak Zamam Now ... Enak kamu dek dapat uji coba Program MBG FYI : Zaman emak bapakmu dulu dapatnya cuma Uji Coba Kurikulum mulu https://t.co/JqxQRpJheM,1879699568046244096,https://pbs.twimg.com/ext_tw_video_thumb/1879699302727262208/pu/img/DEo51g-cioZS1MjU.jpg,,in,I n d o n e s i a,9,60,36,https://x.com/Heraloebss/status/1879699568046243887,1251824880967773952,Heraloebss
1877505634612261120,Fri Jan 10 00:00:00 +0000 2025,311,Negatif,Seperti janji Program Makan Bergizi Gratis yang sedemikian bombastis dipropagandakan saat kampanye dan terlalu semangat didengungkan di awal pagi. Padahal tak gratis pun relatif tak bergizi... #FufufafaAibNasional https://t.co/gA5ZnBWCoC,1877505634612261120,https://pbs.twimg.com/ext_tw_video_thumb/1877492390266875904/pu/img/kGSsXDi0o_RE2Ko2.jpg,,in,Wherever you're not lookin',1,36,91,https://x.com/__AnakKolong/status/1877505634612261136,1159689173340585984,__AnakKolong
1881333934770077952,Mon Jan 20 13:32:18 +0000 2025,3316,Negatif,Program Makan Bergizi Gratis Makin lama akan makin begini kualitasnya. Susu nya sudah hilang Ayamnya sudah hilang Tinggal tempe dan tahu Nasi putih dan pisang kecil Tak berapa lama lagi tahunya akan lenyap dan tempenya pun akan raib. Sementara Laporan Keuangannya tetap per https://t.co/GVuTNHRzFM,1881333934770077952,https://pbs.twimg.com/media/GhvXPTeawAAzT5x.jpg,,in,,46,419,1019,https://x.com/DokterTifa/status/1881333934770077825,1502822366946402048,DokterTifa
1876592116198949120,Tue Jan 07 11:30:00 +0000 2025,1065,Positif,MASYAALLAH MUHAMMADIYAH SIAPKAN EKOSISTEM MAKAN BERGIZI GRATIS BAGAIMANA KONSEPNYA #Muhammadiyah #MakanBergizi #IslamBerkemajuan https://t.co/LrKSeEaVLe,1876592116198949120,https://pbs.twimg.com/ext_tw_video_thumb/1876510789751992320/pu/img/o9gR47x6bFjB5MZ0.jpg,,in,Indonesia,29,32,280,https://x.com/muhammadiyah/status/1876592116198949247,73309923,muhammadiyah
1878407530243579904,Sun Jan 12 11:43:48 +0000 2025,1337,Netral,Ternyata sudah dilaksanakan oleh Abah @aniesbaswedan Program MAKAN SIANG GRATIS Ketika beliau msh menjabat Gubernur DKI Jakarta Meski tidak dipublikasikan oleh beliau sendiri sehat selalu Abah Emang Kereeenn https://t.co/P0k2QtxdNk,1878407530243579904,https://pbs.twimg.com/ext_tw_video_thumb/1878407342427078656/pu/img/fkaPBzIDTcTiL-Yu.jpg,,in,INDONESIA TIMUR,6,29,364,https://x.com/YasmineMirzha/status/1878407530243580129,1417091288533377024,YasmineMirzha
1879495814571347968,Wed Jan 15 11:48:16 +0000 2025,12037,Negatif,Luhut ke Pengkritik Makan Bergizi Gratis: Sok Tau Jadi Pejabat Pasti Maling Juga https://t.co/W0aHaXdAB7,1879495814571347968,,,in,Indonesia,5764,4691,2896,https://x.com/tempodotco/status/1879495814571348342,18129942,tempodotco
1884867674716634880,Thu Jan 30 07:34:07 +0000 2025,1,Negatif,makan bergizi gratis pake serangga huwekkk https://t.co/aTpjqYuOye,1884867674716634880,https://pbs.twimg.com/ext_tw_video_thumb/1884866477339324416/pu/img/dYN6ZBxUDM4mERXB.jpg,,in,Tangsel,0,0,0,https://x.com/indraxcahya/status/1884867674716635397,74106803,indraxcahya
1885081764563214080,Thu Jan 30 21:44:50 +0000 2025,0,Netral,Ayo jadi bagian dari perubahan dukung program Makan Bergizi Gratis demi masa depan cerah #MakanBergiziGratis https://t.co/TXeCu0Kfk5,1885081764563214080,https://pbs.twimg.com/ext_tw_video_thumb/1885081736419414016/pu/img/f7Gpz2TLDWmQWogC.jpg,,in,,0,0,0,https://x.com/blondfe/status/1885081764563214372,2228152477,blondfe
1884846744745500928,Thu Jan 30 06:10:57 +0000 2025,17,Netral,Badan Gizi Nasional mengungkapkan bahwa serangga bisa menjadi alternatif sumber protein dalam program Makan Bergizi Gratis. #tempovideo https://t.co/hpiWLLLvrd,1884846744745500928,https://pbs.twimg.com/ext_tw_video_thumb/1884846323549274112/pu/img/h8XjBUf9zqfHQHtp.jpg,,in,Indonesia,9,34,4,https://x.com/tempodotco/status/1884846744745501113,18129942,tempodotco
